id	data_inversa	dia_semana	horario	uf	br	km	municipio	causa_acidente	tipo_acidente	classificacao_acidente	fase_dia	sentido_via	condicao_metereologica	tipo_pista	tracado_via	uso_solo	pessoas	mortos	feridos_leves	feridos_graves	ilesos	ignorados	feridos	veiculos	latitude	longitude	regional	delegacia	uop
561720	2023-11-16	quinta-feira	18:00:00	RJ	40	79	PETROPOLIS	Reação tardia ou ineficiente do condutor	Colisão com objeto	Com Vítimas Feridas	Anoitecer	Crescente	Nublado	Simples	Retorno Regulamentado	Não	1	0	1	0	0	0	1	1	-22,49130098	-43,22294163	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
561820	2023-11-17	sexta-feira	11:30:00	RJ	40	66	PETROPOLIS	Velocidade Incompatível	Capotamento	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Dupla	Reta	Não	1	0	1	0	0	0	1	1	-22,4381808	-43,18488009	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
562087	2023-11-18	sábado	16:00:00	RJ	40	82	PETROPOLIS	Demais falhas mecânicas ou elétricas	Incêndio	Sem Vítimas	Pleno dia	Decrescente	Céu Claro	Simples	Reta;Aclive	Não	1	0	0	0	1	0	0	1	-22,53236813	-43,21931362	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
562278	2023-11-19	domingo	12:30:00	RJ	40	84	PETROPOLIS	Acumulo de água sobre o pavimento	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Crescente	Chuva	Dupla	Curva	Não	5	0	4	0	1	0	4	1	-22,52145512	-43,23707996	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
562283	2023-11-19	domingo	12:40:00	RJ	40	52	PETROPOLIS	Acumulo de óleo sobre o pavimento	Colisão frontal	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Simples	Curva;Declive	Não	5	0	1	0	4	0	1	1	-22,34078181	-43,13392282	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
562301	2023-11-19	domingo	12:00:00	RJ	40	91	PETROPOLIS	Chuva	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Decrescente	Chuva	Simples	Aclive;Curva	Não	3	0	2	0	1	0	2	1	-22,54903566	-43,24229724	SPRF-RJ	DEL06-RJ	UOP01-DEL06-RJ
564227	2023-11-28	terça-feira	15:00:00	RJ	40	47	PETROPOLIS	Condutor Dormindo	Saída de leito carroçável	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Reta	Não	1	0	1	0	0	0	1	1	-22,29169833	-43,1279826	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
564234	2023-11-28	terça-feira	21:00:00	RJ	495	31	PETROPOLIS	Acessar a via sem observar a presença dos outros veículos	Colisão transversal	Com Vítimas Feridas	Plena Noite	Decrescente	Chuva	Simples	Reta	Sim	2	0	1	0	1	0	1	2	-22,38713276	-43,12494278	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
564619	2023-12-01	sexta-feira	02:30:00	RJ	40	72,5	PETROPOLIS	Ausência de reação do condutor	Colisão com objeto	Com Vítimas Feridas	Plena Noite	Crescente	Céu Claro	Simples	Curva;Declive	Não	2	0	2	0	0	0	2	1	-22,4585308	-43,21600514	SPRF-RJ	DEL01-RJ	UOP01-DEL01-RJ
564695	2023-12-01	sexta-feira	11:00:00	RJ	40	52	PETROPOLIS	Demais falhas mecânicas ou elétricas	Queda de ocupante de veículo	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Dupla	Reta	Não	2	0	2	0	0	0	2	1	-22,33571319	-43,13320403	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
564891	2023-12-02	sábado	05:00:00	RJ	40	76	PETROPOLIS	Reação tardia ou ineficiente do condutor	Capotamento	Com Vítimas Feridas	Pleno dia	Decrescente	Céu Claro	Simples	Curva	Sim	1	0	1	0	0	0	1	1	-22,47192899	-43,23779321	SPRF-RJ	DEL01-RJ	UOP01-DEL01-RJ
565150	2023-12-03	domingo	09:00:00	RJ	40	66	PETROPOLIS	Velocidade Incompatível	Colisão traseira	Com Vítimas Feridas	Pleno dia	Crescente	Céu Claro	Dupla	Curva	Não	2	0	0	1	1	0	1	2	-22,43038811	-43,16805124	SPRF-RJ	DEL05-RJ	UOP02-DEL05-RJ
